,经度,纬度,连接顺序,块,名称
520,121.072559,31.155595,176.0,10.0,上海市
521,121.073029,31.156267,177.0,10.0,上海市
522,121.073629,31.156469,178.0,10.0,上海市
523,121.073837,31.157075,179.0,10.0,上海市
524,121.077028,31.158456,180.0,10.0,上海市
525,121.076054,31.160539,181.0,10.0,上海市
526,121.077063,31.160708,182.0,10.0,上海市
527,121.077133,31.161884,183.0,10.0,上海市
528,121.076794,31.162622,184.0,10.0,上海市
529,121.073699,31.161711,185.0,10.0,上海市
530,121.073125,31.163256,186.0,10.0,上海市
531,121.077368,31.164538,187.0,10.0,上海市
532,121.077298,31.166017,188.0,10.0,上海市
533,121.075468,31.170317,189.0,10.0,上海市
534,121.072386,31.169606,190.0,10.0,上海市
535,121.071917,31.170513,191.0,10.0,上海市
536,121.072117,31.171254,192.0,10.0,上海市
537,121.07276,31.171624,193.0,10.0,上海市
538,121.072526,31.172698,194.0,10.0,上海市
539,121.07543,31.173444,195.0,10.0,上海市
540,121.07423,31.176224,196.0,10.0,上海市
541,121.071404,31.179475,197.0,10.0,上海市
542,121.071222,31.181466,198.0,10.0,上海市
543,121.075587,31.18285,199.0,10.0,上海市
544,121.074988,31.184385,200.0,10.0,上海市
545,121.069474,31.182892,201.0,10.0,上海市
546,121.068752,31.184895,202.0,10.0,上海市
547,121.070857,31.185614,203.0,10.0,上海市
548,121.071683,31.185959,204.0,10.0,上海市
549,121.071736,31.186821,205.0,10.0,上海市
550,121.071509,31.187702,206.0,10.0,上海市
551,121.071466,31.188434,207.0,10.0,上海市
552,121.070344,31.188738,208.0,10.0,上海市
553,121.070344,31.189863,209.0,10.0,上海市
554,121.070892,31.190409,210.0,10.0,上海市
555,121.070614,31.191294,211.0,10.0,上海市
556,121.071849,31.191431,212.0,10.0,上海市
557,121.072562,31.191533,213.0,10.0,上海市
558,121.072188,31.193168,214.0,10.0,上海市
559,121.07011,31.193608,215.0,10.0,上海市
560,121.069597,31.195309,216.0,10.0,上海市
561,121.066796,31.194964,217.0,10.0,上海市
562,121.066605,31.197187,218.0,10.0,上海市
563,121.066811,31.197142,219.0,10.0,上海市
564,121.068284,31.196699,220.0,10.0,上海市
565,121.069214,31.196519,221.0,10.0,上海市
566,121.068826,31.198609,222.0,10.0,上海市
567,121.06861,31.199254,223.0,10.0,上海市
568,121.068106,31.200481,224.0,10.0,上海市
569,121.067809,31.200999,225.0,10.0,上海市
570,121.067445,31.202762,226.0,10.0,上海市
571,121.067276,31.203579,227.0,10.0,上海市
572,121.067049,31.204794,228.0,10.0,上海市
573,121.066568,31.207131,229.0,10.0,上海市
574,121.06619,31.20851,230.0,10.0,上海市
575,121.066037,31.209382,231.0,10.0,上海市
576,121.065893,31.210124,232.0,10.0,上海市
577,121.065776,31.210914,233.0,10.0,上海市
